NJ8,Word
1,the
2,of
3,and
4,a
5,in
6,to
7,it
8,I
9,be
10,you
11,for
12,that
13,he
14,with
15,on
16,at
17,have
18,they
19,but
20,this
21,we
22,his
23,not
24,she
25,from
26,by
27,do
28,as
29,or
30,what
31,all
32,if
33,their
34,would
35,which
36,her
37,say
38,who
39,can
40,there
41,will
42,up
43,so
44,one
45,my
46,about
47,them
48,him
49,me
50,just
51,out
52,know
53,some
54,could
55,into
56,when
57,then
58,your
59,now
60,time
61,two
62,people
63,well
64,like
65,think
66,than
67,get
68,its
69,other
70,no
71,how
72,these
73,first
74,see
75,very
76,also
77,our
78,only
79,go
80,because
81,new
82,any
83,way
84,year
85,more
86,here
87,good
88,down
89,should
90,back
91,many
92,those
93,may
94,make
95,after
96,three
97,even
98,last
99,over
100,want
101,through
102,us
103,still
104,take
105,oh
106,too
107,between
108,yes
109,day
110,really
111,man
112,world
113,something
114,never
115,come
116,own
117,life
118,why
119,another
120,again
121,much
122,same
123,such
124,right
125,against
126,must
127,where
128,thing
129,while
130,work
131,house
132,most
133,off
134,old
135,child
136,mean
137,look
138,school
139,four
140,next
141,every
142,few
143,always
144,before
145,each
146,woman
147,under
148,night
149,part
150,give
151,find
152,five
153,different
154,place
155,without
156,however
157,during
158,state
159,money
160,need
161,though
162,big
163,number
164,away
165,family
166,tell
167,today
168,small
169,high
170,case
171,lot
172,little
173,week
174,water
175,put
176,group
177,point
178,fact
179,head
180,end
181,national
182,hand
183,country
184,both
185,president
186,yet
187,nothing
188,home
189,since
190,room
191,side
192,system
193,important
194,city
195,until
196,long
197,social
198,often
199,keep
200,mother
201,ever
202,anything
203,use
204,actually
205,eye
206,young
207,sure
208,once
209,almost
210,already
211,six
212,black
213,war
214,business
215,help
216,let
217,company
218,local
219,feel
220,around
221,car
222,together
223,second
224,late
225,face
226,information (info)
227,problem
228,student
229,power
230,course
231,father
232,large
233,million
234,ago
235,police
236,himself
237,far
238,party
239,area
240,health
241,among
242,kind
243,percent
244,door
245,question
246,able
247,white
248,real
249,morning
250,believe
251,enough
252,job
253,call
254,ask
255,try
256,month
257,law
258,body
259,table
260,name
261,book
262,everything
263,across
